seller_city,seller_state,order_id,review_score,review_creation_date,product_name_lenght,product_description_lenght,product_photos_qty
campinas,SP,b9bf720beb4ab3728760088589c62129,4,2018-05-22,40,287,1
mogi guacu,SP,e51478e7e277a83743b6f9991dbfa3fb,5,2018-05-23,44,276,1
rio de janeiro,RJ,583174fbe37d3d5f0d6661be3aad1786,1,2018-08-15,46,250,1
sao paulo,SP,4fc44d78867142c627497b60a7e0228a,5,2018-07-10,27,261,1
braganca paulista,SP,37e7875cdce5a9e5b3a692971f370151,4,2018-06-07,37,402,4
rio de janeiro,RJ,e029f708df3cc108b3264558771605c6,5,2018-06-13,60,745,1
brejao,PE,e2e6ee1ed2d7f2f36b05d234983bd7a0,5,2018-08-10,56,1272,4
penapolis,SP,a6456e781cb962cc3f412b04de4fed7b,5,2018-06-13,56,184,2
sao paulo,SP,8a9424899aac432d80d8e580932b5ee9,5,2018-07-25,57,163,1
curitiba,PR,25362fbf6aac4b01a28dee1e076acc26,5,2018-08-17,36,1156,1
anapolis,GO,491f193fc52075598871cfe6f19976d4,5,2018-06-19,54,630,1
itirapina,SP,4a7cf245701068d38d441791b735e4bd,5,2018-05-10,49,728,4
sao paulo,SP,5bc4e94aef2841f392fb6fe7ceef69b6,5,2018-05-23,43,1827,3
sao paulo,SP,f25ddb6cd62d720a5d91fff80467930a,3,2018-01-20,51,2083,2
tubarao,SC,1c8898140458c37fbbf0be37d47193b9,5,2018-04-27,59,1602,4
lauro de freitas,BA,1e91914c9706a5d4665b8c5a6294b107,4,2018-05-15,22,3021,1
imbituba,SC,d9ff0185a300435402f043124f530274,1,2018-05-11,39,346,2
brasilia,DF,cadd4c5765abf658117f2cc7e2a639c2,5,2018-08-26,59,636,1
porto seguro,BA,fc8c2e8bc069aea361c41c313464993c,5,2018-07-04,56,296,2
sao paulo,SP,f3468d6a2c7586711e9952242898aad4,1,2018-05-23,52,206,1
guaruja,SP,0bcbcc3e0a09b3f6a9495de35f452616,5,2018-07-07,27,158,4
tabatinga,SP,82348f1b5f24ac795fa9320e02c49553,1,2018-06-28,27,329,2
sao paulo,SP,7bdfa70c4049e7319a3182997e27cb95,3,2018-05-08,58,1987,3
salto,SP,fd65651f855608ad1aa52ff4a741c31a,3,2018-05-10,55,1627,1
tres de maio,RS,287b045cfe9ba0ed08308efc06c366ae,3,2018-05-24,56,209,1
belo horizonte,MG,06ecfa8dfae87263e05d953aa561603d,5,2018-08-22,52,968,1
arapongas,PR,dae4fcb62b78ccf2ff3ac4d49113a8f5,5,2018-07-14,52,573,5
sao bernardo do campo,SP,e11c61aa2d539f826865ea728496f6d4,5,2018-08-23,35,1101,2
sao paulo,SP,824d9780d0313771024a0c70fe9dd9a7,3,2018-06-12,59,1890,2
tatui,SP,f23c71439ab24ac853522e783dd7dec2,5,2018-05-05,50,529,2
curitiba,PR,a0f2f8b0523207a13f02225bc812ed23,1,2018-08-05,45,206,1
sao paulo,SP,1a1ef8dc595adbce0e5d75d806d69286,5,2018-06-08,49,1163,9
garopaba,SC,d66d818e0e5486b4382bdaad63390b53,5,2018-08-01,60,208,1
sao paulo,SP,df8e5e994bcc820fcf403f9a875201e6,5,2018-08-07,57,476,1
camanducaia,MG,f506fd1443d94ad16f25a94426fb8805,5,2018-06-03,50,699,4
tupa,SP,bfaea68f958681ec9d22aa2114b45721,4,2018-08-12,52,708,9
guarulhos,SP,729c445f5f350f88d5c9a3911d6e9bc0,5,2018-05-10,43,1062,2
sao jose dos pinhais,PR,43050a51a257b17d51295e07650cb654,1,2018-08-23,31,806,1
sao paulo,SP,a848ecb46fe108b35dd5bd7bf4fdddca,2,2018-05-19,37,352,1
sao paulo,SP,67274e3826cb110f3d0cb45f33c2275e,3,2018-07-06,47,502,1
